model,MAE_min,RMSE_min,R2,within_15pct,MAE_improvement_%,within15_gain_pts
Baseline (trip features),27.451605923927886,58.432479871619535,0.9752218437612405,51.7169417567824,0.0,0.0
Graph-enhanced (+node2vec+centrality),24.26975979468785,52.69844354461139,0.979846247182688,55.43540125213432,11.590746778375594,3.7184594953519223
