dist_band,route_type,legs,median_actual_min,median_factor,median_speed_kmph
short <50km,FTL,4917,55.0,1.8636363636363635,31.337293506348008
short <50km,Carting,9913,54.0,2.208333333333333,23.155359264534145
mid 50-200,FTL,6344,146.0,1.9378221649484537,29.960950320926468
mid 50-200,Carting,2493,128.0,2.0,25.93241914981219
long 200-800,FTL,1842,473.0,1.9723748473748475,32.96836722840497
long 200-800,Carting,23,430.0,2.078703703703704,24.80084032026873
ultra >800,FTL,837,1930.0,1.9372549019607843,34.70894823720456
