source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND241124AAB,IND242001AAA,4,2.1856617647058822,36.0,16.5,77.0,4,23.759149999999998,1.0,1.0,Shahabad_KDRoad_D (Uttar Pradesh),Shahjhnpur_NavdaCln_D (Uttar Pradesh)
IND535501AAB,IND532001AAB,1,1.9506172839506173,158.0,81.0,77.0,1,88.7522,1.0,1.0,Parvathipuram_Central_D_2 (Andhra Pradesh),Srikakulam_Kuslpram_I (Andhra Pradesh)
IND335701AAA,IND335051AAA,7,1.0638297872340423,50.0,47.0,77.0,2,50.941300000000005,0.0,0.2857142857142857,Anupgarh_PrmNrDPP_D (Rajasthan),RaisingNgr_BisnolDPP_D (Rajasthan)
IND712310AAE,IND712103AAA,1,3.533333333333333,106.0,30.0,76.0,1,31.1943,0.0,1.0,Kolkata_North_I_4 (West Bengal),Hoogly_Bandel_D (West Bengal)
IND824101AAA,IND821307AAA,4,1.8903162055335967,42.5,22.0,75.0,4,32.116,1.0,1.0,AurngbadBR_Mahindra_D (Bihar),DehriSone_Dilliyan_D (Bihar)
IND852118AAA,IND854326AAB,1,2.4705882352941178,126.0,51.0,75.0,1,72.32,1.0,1.0,Forbesganj_JhumanCk_D (Bihar),Purnia_Central_H_2 (Bihar)
IND382421AAA,IND382721AAA,14,1.2941176470588236,20.0,16.0,75.0,8,15.994149999999998,0.0,0.5714285714285714,Gandhinagar_DC (Gujarat),Gandhinagar_Kalol_DC (Gujarat)
IND400706AAA,IND000000AFT,2,4.712121212121212,47.5,10.0,75.0,2,10.32765,0.0,1.0,Mumbai_Nerul_D (Maharashtra),Mumbai_Sanpada_I (Maharashtra)
IND504296AAA,IND505001AAB,1,1.6,200.0,125.0,75.0,1,145.8669,1.0,1.0,Kaghaznagar_Central_DPP_1 (Telangana),Karimnagar_KamnHbRD_I (Telangana)
IND577002AAA,IND581110AAE,1,2.423076923076923,126.0,52.0,74.0,1,72.43780000000001,0.0,1.0,Davangere_Central_I_1 (Karnataka),Haveri_GuttalRD_D (Karnataka)
IND470113AAA,IND470227AAB,1,1.6727272727272726,184.0,110.0,74.0,1,143.9026,1.0,1.0,Bina_Srvdycwk_D (Madhya Pradesh),Rehli_Ward7DPP_D (Madhya Pradesh)
IND641607AAA,IND641664AAA,4,1.9,38.0,20.0,74.0,4,21.59195,0.0,1.0,Tirupur_Koliplm_I (Tamil Nadu),Tirpur_Palladam_DC (Tamil Nadu)
IND695012AAA,IND695101AAB,2,2.4230769230769234,63.0,26.0,74.0,2,28.2589,0.0,1.0,Trivandrum_Mnanthla_H (Kerala),Attingal_Central_D_2 (Kerala)
IND577401AAA,IND577201AAA,7,1.125,99.0,88.0,74.0,1,84.8653,1.0,0.14285714285714285,Sagara_Vardhard_D (Karnataka),Shimoga_DC (Karnataka)
IND756019AAA,IND757001AAA,1,2.608695652173913,120.0,46.0,74.0,1,65.5301,1.0,1.0,Balasore_Ganeshwr_D (Orissa),Baripada_KalikDPP_D (Orissa)
IND152101AAA,IND152026AAA,2,2.0063813813813813,73.5,36.5,74.0,2,46.7525,1.0,1.0,Giddarbaha_DC (Punjab),Muktsar_DPC (Punjab)
IND181152AAA,IND184121AAA,5,1.4666666666666666,44.0,32.0,74.0,5,36.5022,1.0,1.0,Jammu_TrnptNgr_L (Jammu & Kashmir),Samba_Wardno13_D (Jammu & Kashmir)
IND152123AAA,IND152026AAA,1,2.345454545454545,129.0,55.0,74.0,1,65.8803,1.0,1.0,Fazilka_GndhiChk_D (Punjab),Muktsar_DPC (Punjab)
IND623701AAA,IND623503AAA,7,1.1777777777777778,53.0,46.0,74.0,3,46.3482,1.0,0.42857142857142855,Paramakudi_VagaiNgr_D (Tamil Nadu),Ramnthpurm_TnhbBlkC_D (Tamil Nadu)
IND273303AAA,IND273304AAA,1,4.041666666666667,97.0,24.0,73.0,1,33.892199999999995,0.0,1.0,Maharajganj_PakriDPP_D (Uttar Pradesh),Nichlaul_Wardno13_D (Uttar Pradesh)
IND201001AAC,IND110037AAM,2,1.8295454545454546,80.5,44.0,73.0,2,41.81025,0.0,1.0,Ghaziabad_Central_L_8 (Uttar Pradesh),Delhi_Airport_H (Delhi)
IND721253AAC,IND721501AAC,1,1.7849462365591398,166.0,93.0,73.0,1,101.1111,1.0,1.0,ChandroknaRD_Central_DPP_3 (West Bengal),AmaDubi_Bulabeda_D (West Bengal)
IND132001AAA,IND132103AAA,1,3.147058823529412,107.0,34.0,73.0,1,38.0852,1.0,1.0,Karnal (Haryana),Panipat (Haryana)
IND462022AAA,IND462001AAA,3,2.3076923076923075,30.0,13.0,73.0,3,14.5169,0.0,1.0,Bhopal_Trnsport_H (Madhya Pradesh),Bhopal_Old City (Madhya Pradesh)
IND635001AAA,IND636705AAB,4,1.3675213675213675,72.5,52.0,73.0,4,55.552800000000005,1.0,1.0,Krishnagiri_BnglorRd_D (Tamil Nadu),Dharmapuri_Central_D_2 (Tamil Nadu)
IND384205AAA,IND382430AAB,1,1.869047619047619,157.0,84.0,73.0,1,92.5036,1.0,1.0,Mehsana_Panchot_IP (Gujarat),Ahmedabad_East_H_1 (Gujarat)
IND384205AAA,IND384170AAA,6,1.25,35.0,28.0,72.0,4,28.23955,1.0,0.6666666666666666,Mehsana_Panchot_IP (Gujarat),Unjha_DC (Gujarat)
IND506001AAC,IND505122AAA,2,2.0588235294117645,70.0,34.0,72.0,2,41.804249999999996,1.0,1.0,Warangal_Central_D_2 (Telangana),Jammikunta_ConduDPP_D (Telangana)
IND560300AAA,IND563130AAA,2,1.759308510638298,83.5,47.5,72.0,2,56.30395,0.0,1.0,Bengaluru_KGAirprt_HB (Karnataka),Malur_NharuExt_D (Karnataka)
IND573116AAA,IND573142AAA,1,2.333333333333333,126.0,54.0,72.0,1,53.4551,1.0,1.0,Channaraya_patna_D (Karnataka),Ramanathapura_Central_D_2 (Karnataka)
IND403726AAB,IND403507AAA,5,1.3333333333333333,40.0,29.0,71.0,4,25.0992,0.0,0.8,Goa_ZuariNgr_IP (Goa),Panaji Goa (Goa)
IND221010AAB,IND222001AAA,1,2.731707317073171,112.0,41.0,71.0,1,57.9928,1.0,1.0,Varanasi_MahmurGj_IP (Uttar Pradesh),Jaunpur_Katghara_D (Uttar Pradesh)
IND530012AAA,IND531036AAA,1,2.9722222222222223,107.0,36.0,71.0,1,38.9425,0.0,1.0,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Chodavaram_BaljiDPP_D (Andhra Pradesh)
IND712406AAA,IND712612AAA,1,2.577777777777778,116.0,45.0,71.0,1,43.541,1.0,1.0,Khanakul_Ramnagar_D (West Bengal),Kamarpukur_ChatiDPP_D (West Bengal)
IND841226AAB,IND841428AAA,2,2.5530303030303028,58.5,23.0,71.0,2,32.21025,0.5,1.0,Siwan_HnmntNgr_D (Bihar),Gopalganj_GopalDPP_D (Bihar)
IND140406AAA,IND140401AAA,7,1.5833333333333333,38.0,28.0,71.0,5,31.0253,1.0,0.7142857142857143,SirhindFatehgarh_DC (Punjab),Rajpura_DC (Punjab)
IND627005AAA,IND629001AAA,1,2.0142857142857142,141.0,70.0,71.0,1,84.5501,1.0,1.0,Tirunelveli_VdkkuSrt_I (Tamil Nadu),Nagarcoil_AsrplmRd_DC (Tamil Nadu)
IND505001AAB,IND503111AAC,2,1.388034188034188,125.5,90.5,70.0,1,98.4647,1.0,0.5,Karimnagar_KamnHbRD_I (Telangana),Kamareddy_Devenply_I (Telangana)
IND110044AAB,IND110037AAM,3,2.0476190476190474,43.0,23.0,70.0,3,24.686,0.0,1.0,Del_Okhla_PC (Delhi),Delhi_Airport_H (Delhi)
IND142026AAA,IND000000ACA,1,2.75,110.0,40.0,70.0,1,54.4594,1.0,1.0,Jagraon_DC (Punjab),Ludhiana_MilrGanj_HB (Punjab)
