facility,name,betweenness,pagerank,in_degree,out_degree,degree,clustering,throughput_legs,total_excess_delay,delay_pct,betw_pct,thru_pct,bottleneck_score
IND273155AAA,Anandnagar_LohiaDPP_D (Uttar Pradesh),5.1082213173373036e-06,0.000324207379103562,1,2,3,0.0,7,435.0,0.3219674109837055,0.45805672902836453,0.216053108026554,0.34161134580567293
IND425508AAB,Raver_Truptingr_D (Maharashtra),4.7433483660989244e-06,0.0008397499676108667,2,1,3,0.6666666666666666,27,985.0,0.5835847917923959,0.45624622812311405,0.6831623415811708,0.5652987326493664
IND621802AAA,Jayamkondan_Chithbrm_D (Tamil Nadu),4.7433483660989244e-06,0.0004780177862660943,1,2,3,0.3333333333333333,29,842.0,0.5347012673506337,0.45624622812311405,0.716053108026554,0.5474351237175619
IND222001AAA,Jaunpur_Katghara_D (Uttar Pradesh),4.7433483660989244e-06,0.0005731317932316165,2,1,3,0.0,3,126.0,0.12130356065178033,0.45624622812311405,0.10651780325890163,0.2188292094146047
IND621704AAA,Ariyalur_Kmrajngr_D (Tamil Nadu),4.378475414860546e-06,0.0004262305306608616,1,1,2,1.0,33,742.0,0.48461074230537116,0.4544357272178636,0.7815328907664454,0.5349426674713338
IND688009AAA,Alappuzha_Pazhvedu_D (Kerala),4.378475414860546e-06,0.0012076712572545115,1,1,2,0.0,31,2652.0,0.8442969221484611,0.4544357272178636,0.7483403741701871,0.708147254073627
IND626138AAA,Maharajapuram_Krsnakcl_D (Tamil Nadu),4.378475414860546e-06,0.0016015649127578912,1,1,2,0.0,25,563.0,0.40102595051297524,0.4544357272178636,0.6472540736270368,0.4662945081472541
IND621212AAA,Perambalur_goplpurm_D (Tamil Nadu),4.013602463622167e-06,0.00036532500679703917,2,1,3,0.3333333333333333,34,635.0,0.4423657211828606,0.45232347616173807,0.79963789981895,0.5168074834037417
IND362220AAA,Junagadh_keshod_DC (Gujarat),4.013602463622167e-06,0.0007118243648256808,1,2,3,0.6666666666666666,22,677.0,0.45624622812311405,0.45232347616173807,0.5887145443572722,0.48156306578153285
IND624101AAA,Kodaikanal_Athithnr_DC (Tamil Nadu),4.013602463622167e-06,0.0007943652382239373,1,1,2,0.0,25,-682.0,0.0006035003017501509,0.45232347616173807,0.6472540736270368,0.26544960772480386
IND423105AAA,Malegaon_Rawlgaon_D (Maharashtra),4.013602463622167e-06,0.0003587316316813322,2,2,4,0.3333333333333333,17,477.0,0.3476161738080869,0.45232347616173807,0.46016898008449003,0.4015389257694628
IND608301AAA,Lalpet_PriyrNGR_D (Tamil Nadu),3.648729512383788e-06,0.0004543163122223777,1,1,2,0.0,26,1776.0,0.7585998792999397,0.45021122510561257,0.6653590826795414,0.6474351237175618
IND424101AAA,Chalisgaon_BhadgDPP_D (Maharashtra),3.648729512383788e-06,0.0002866400982233274,1,1,2,0.0,9,446.0,0.32860591430295716,0.45021122510561257,0.2664453832226916,0.3526554013277007
IND768004AAD,Sambalpur_Central_H_2 (Orissa),3.648729512383788e-06,0.0008811492793829047,1,2,3,0.0,5,339.0,0.2628243814121907,0.45021122510561257,0.16807483403741702,0.3000905250452625
IND679322AAA,Printhlmna_EmsPnmbi_D (Kerala),3.283856561145409e-06,0.0003349046738866673,1,1,2,0.0,4,104.0,0.10591430295715148,0.44689197344598675,0.1388050694025347,0.2147857573928787
IND516115AAA,Rajampet_RSRoad_D (Andhra Pradesh),3.283856561145409e-06,0.0007179766435273275,1,1,2,0.0,35,2315.0,0.8189499094749547,0.44689197344598675,0.812009656004828,0.7059444779722389
IND486886AAA,Singrauli_Waidhan_D (Madhya Pradesh),3.283856561145409e-06,0.00036865207163023074,1,1,2,0.0,14,350.0,0.2727821363910682,0.44689197344598675,0.40012070006035005,0.3504828002414001
IND524101AAB,Gudur_Bngisheb_D (Andhra Pradesh),3.283856561145409e-06,0.0006516009535537802,1,1,2,0.0,30,1773.0,0.7579963789981895,0.44689197344598675,0.7317441158720579,0.6594146047073023
IND517644AAA,Sriklahsti_SDKNgr_D (Andhra Pradesh),3.283856561145409e-06,0.0006208122525631462,1,1,2,0.0,31,1314.0,0.684067592033796,0.44689197344598675,0.7483403741701871,0.6257694628847315
IND517583AAA,Puttur_Artmclny_D (Andhra Pradesh),3.283856561145409e-06,0.000715524991160332,1,1,2,0.0,38,1631.0,0.7398913699456849,0.44689197344598675,0.8445986722993362,0.6729330114665057
IND516101AAA,Koduru_MGRoad_D (Andhra Pradesh),3.283856561145409e-06,0.0007229899080125932,1,1,2,0.0,37,1782.0,0.7616173808086905,0.44689197344598675,0.8340374170187085,0.681683765841883
IND524132AAA,Venktagiri_TirupthiRd_D (Andhra Pradesh),3.283856561145409e-06,0.0006426244299521035,1,1,2,0.0,29,921.0,0.563971031985516,0.44689197344598675,0.716053108026554,0.5592637296318649
