source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND000000ACT,IND000000ACB,100,1.3585526315789473,57.0,42.0,2829.0,70,43.6586,0.57,0.7,Delhi_Gateway_HB (Delhi),Gurgaon_Bilaspur_HB (Haryana)
IND382430AAB,IND313001AAB,14,1.9821166928309786,387.5,195.0,2760.0,14,273.4336,1.0,1.0,Ahmedabad_East_H_1 (Gujarat),Udaipur_Mangri_I (Rajasthan)
IND751002AAB,IND754103AAA,7,10.121951219512194,415.0,42.0,2743.0,7,58.5252,1.0,1.0,Bhubaneshwar_Hub (Orissa),Jagatsghpr_Markndpr_D (Orissa)
IND757037AAA,IND756100AAC,12,2.7831099381901523,333.0,122.5,2736.0,12,167.1052,1.0,1.0,Karanjia_Sarubali_D (Orissa),Bhadrak_Central_I_2 (Orissa)
IND000000ACB,IND302022AAD,20,1.6913702007749207,286.5,168.5,2727.0,20,221.44150000000002,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Jaipur_RIICO_L (Rajasthan)
IND580028AAA,IND403726AAA,13,2.4532374100719423,341.0,141.0,2720.0,13,183.2936,1.0,1.0,Hubli_Adargchi_IP (Karnataka),Goa_Hub (Goa)
IND144001AAC,IND160002AAC,15,2.544642857142857,285.0,112.0,2682.0,15,159.83229999999998,0.0,1.0,Jalandhar_Sodal Road (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND400072AAB,IND400015AAA,60,3.1470588235294112,53.5,17.0,2682.0,60,18.6289,0.0,1.0,Mumbai Hub (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra)
IND816109AAA,IND826004AAA,10,1.8175301895702625,445.0,244.5,2670.0,10,300.81600000000003,1.0,1.0,Sahebganj_BaraLoha_D (Jharkhand),Dhanbad_Kalynpur_I (Jharkhand)
IND462022AAA,IND842003AAB,8,2.461642721604771,539.0,217.0,2660.0,8,289.2743,1.0,1.0,Bhopal_Trnsport_H (Madhya Pradesh),Jabalpur_Adhartal_IP (Madhya Pradesh)
IND600056AAB,IND501359AAE,7,1.8024691358024687,876.0,486.0,2658.0,7,678.099,1.0,1.0,MAA_Poonamallee_HB (Tamil Nadu),Hyderabad_Shamshbd_H (Telangana)
IND477001AAB,IND474003AAA,11,4.811320754716981,255.0,55.0,2648.0,11,76.7885,1.0,1.0,Bhind_EtwahDPP_D (Madhya Pradesh),Gwalior_HrihrNgr_I (Madhya Pradesh)
IND600032AAB,IND600056AAB,64,1.8920454545454544,61.5,32.5,2644.0,64,36.47855,0.0,1.0,Chennai_Hub (Tamil Nadu),MAA_Poonamallee_HB (Tamil Nadu)
IND580028AAA,IND590016AAA,13,2.1733333333333333,161.0,74.0,2635.0,13,102.7885,1.0,1.0,Hubli_Adargchi_IP (Karnataka),Belgaum_Dc (Karnataka)
IND176303AAA,IND176310AAA,10,1.335704291044776,90.0,69.0,2627.0,8,45.695350000000005,1.0,0.8,Dalhousie_Banikhet_D (Himachal Pradesh),Chamba_Bangotu_D (Himachal Pradesh)
IND211002AAB,IND485001AAC,13,2.473684210526316,329.0,133.0,2602.0,13,185.3955,1.0,1.0,Allahabad_Central_H_1 (Uttar Pradesh),Satna_Central_I_2 (Madhya Pradesh)
IND160002AAC,IND174001AAA,16,2.043011305241521,285.0,139.0,2561.0,16,180.0813,1.0,1.0,Chandigarh_Mehmdpur_H (Punjab),BilaspurHP_Indsarea_D (Himachal Pradesh)
IND723202AAA,IND713205AAB,14,2.250156739811912,326.0,144.5,2538.0,14,195.4612,1.0,1.0,Jhalda_GMukrDPP_D (West Bengal),Durgapur_Central_I_1 (West Bengal)
IND313001AAB,IND306401AAB,17,2.0492957746478875,287.0,141.0,2537.0,17,189.1274,1.0,1.0,Udaipur_Mangri_I (Rajasthan),Pali_Nayagaon_I (Rajasthan)
IND411033AAA,IND411014AAA,43,2.625,75.0,28.0,2518.0,43,25.9345,0.0,1.0,Pune_Tathawde_H (Maharashtra),PNQ Vadgaon Sheri DPC (Maharashtra)
IND688009AAA,IND686028AAB,16,3.6755050505050506,163.5,45.0,2512.0,16,45.36175,0.0,1.0,Alappuzha_Pazhvedu_D (Kerala),Kottayam_Central_H_1 (Kerala)
IND400072AAB,IND401104AAA,72,3.0921568627450977,48.0,16.0,2499.0,72,20.53295,0.0,1.0,Mumbai Hub (Maharashtra),Mumbai_MiraRd_IP (Maharashtra)
IND452001AAC,IND425201AAA,9,2.823529411764706,47.0,17.0,2481.0,9,23.2065,0.0,1.0,Jalgaon_DC (Maharashtra),Bhusawal_Samarth_D (Maharashtra)
